Category,Product Name,Current Price,Original Price,Product URL
Food Cupboard,Naivas Nyama Choma Crisps 30G,KES 39,KES 55,https://naivas.online/naivas-potato-crisps-nyama-choma-30g
Food Cupboard,Ndovu Home Baking Wheat Flour 2Kg,KES 145,KES 155,https://naivas.online/ndovu-home-baking-wheat-flour-2kg
Food Cupboard,Ndovu Maize Meal 2Kg,KES 135,KES 139,https://naivas.online/ndovu-maize-meal-2kg
Food Cupboard,Weetabix Single Serve 37Gms,KES 30,No discount,https://naivas.online/weetabix-37g
Food Cupboard,Jamii Pure Mwea Pishori Rice 5Kg,KES 899,"KES 1,450",https://naivas.online/jamii-pure-mwea-pishori-rice-5kg
Food Cupboard,Royco Beef Cubes 28x4,KES 110,No discount,https://naivas.online/royco-beef-cubes-28x4
Food Cupboard,kripsii chilli lemon crisps 50g,KES 49,KES 60,https://naivas.online/kripsii-chilli-lemon-crisps-50g
Food Cupboard,kripsii chilli lemon crisps 25g,KES 25,KES 30,https://naivas.online/kripsii-chilli-lemon-crisps-25g
Food Cupboard,Ajab Fortified Mandazi Flour 2 Kg,KES 162,KES 172,https://naivas.online/ajab-fortified-mandazi-flour-2-kg
Food Cupboard,nala chicken noodle 70g,KES 24,KES 30,https://naivas.online/nala-chicken-noodle-70g
Food Cupboard,Santa Lucia Spaghetti 500g,KES 199,KES 269,https://naivas.online/santa-lucia-spaghetti-500g
Food Cupboard,nala chicken noodle 350g v pack,KES 99,KES 140,https://naivas.online/nala-chicken-noodle-350g-v-pack
Food Cupboard,Tropical Heat Potato Crisps Tomato 100g,KES 95,KES 115,https://naivas.online/tropical-heat-potato-crisps-tomato-100g
Food Cupboard,Prestige Margarine Vanilla 500G,KES 249,KES 275,https://naivas.online/prestige-margarine-500g
Food Cupboard,Pep Tomato Ketchup 400Ml,KES 149,KES 200,https://naivas.online/pep-tomato-ketchup-400ml
Food Cupboard,kripsii chilli lemon crisps 100g,KES 89,KES 120,https://naivas.online/kripsii-chilli-lemon-crisps-100g
Food Cupboard,Dola Cooking Oil 3Ltr,KES 799,KES 899,https://naivas.online/dola-cooking-oil-3ltr
Food Cupboard,Soko Nutri Wholegrain Maize Meal 2 Kg,KES 294,No discount,https://naivas.online/soko-nutri-wholegrain-maize-meal-2-kg
Food Cupboard,Tropical Heat Pilau Masala Jar 100g,KES 290,No discount,https://naivas.online/tropical-heat-pilau-masala-jar-100g
Food Cupboard,Zesta Tomato Ketchup 700g,KES 209,KES 264,https://naivas.online/zesta-tomato-ketchup-700g
Food Cupboard,Butterfly Grains Green Grams Polished 1Kg,KES 281,KES 310,https://naivas.online/butterfly-grains-green-grams-polished-1kg
Food Cupboard,Elliots Home Baking 2Kg,KES 166,No discount,https://naivas.online/elliots-home-baking-2kg
Food Cupboard,Zesta Peanut Butter Smooth 400g,KES 249,KES 270,https://naivas.online/zesta-peanut-butter-smooth-400g
Food Cupboard,Dairyland Mint Chocolate 37G,KES 70,No discount,https://naivas.online/dairyland-mint-chocolate-37g
Food Cupboard,Morning Harvest Super-Fast Oats Sachet 1Kg,KES 335,KES 419,https://naivas.online/morning-harvest-super-fast-oats-sachet-1kg
Food Cupboard,Kara Coconut Cream Powder 50g,KES 155,No discount,https://naivas.online/kara-coconut-cream-powder-50g
Food Cupboard,Zesta Tomato Sauce 700G,KES 140,KES 175,https://naivas.online/zesta-tomato-sauce-700g
Food Cupboard,Cowboy Spesheli Cooking Fat 1Kg,KES 380,No discount,https://naivas.online/cowboy-spesheli-cooking-fat-1kg
Food Cupboard,Cowboy Spesheli Cooking Fat 500g,KES 195,No discount,https://naivas.online/cowboy-spesheli-cooking-fat-500g
Food Cupboard,Daawat Long Grain Rice 5Kg,KES 769,KES 855,https://naivas.online/daawat-long-grain-rice-5kg
Food Cupboard,Pearl Pishori Rice 2Kg,KES 644,No discount,https://naivas.online/pearl-pishori-rice-2kg
Food Cupboard,Wow Sugared 100g,KES 57,KES 72,https://naivas.online/wow-sugared-100g
Food Cupboard,Weetabix With Vitamins & Iron 450g,KES 399,No discount,https://naivas.online/weetabix-with-vitamins-iron-450g
Food Cupboard,Zesta Red Plum Jam Pet 450 g,KES 159,KES 199,https://naivas.online/zesta-red-plum-jam-pet-450-g
Food Cupboard,Morning Harvest Corn Flakes 500g,KES 369,KES 415,https://naivas.online/morning-harvest-corn-flakes-500g
Food Cupboard,Lea Premium Wheat Flour 2Kg,KES 166,No discount,https://naivas.online/lea-premium-wheat-flour-2kg
Food Cupboard,Cil Pishori Aromatic Rice 2Kg,KES 604,No discount,https://naivas.online/cil-pishori-aromatic-rice-2kg
Food Cupboard,Winnie'S Pure Health Toto Afya 1Kg,KES 335,No discount,https://naivas.online/winnie-s-pure-health-toto-afya-1kg
Food Cupboard,Nuvita Nice Biscuit 200g,KES 99,No discount,https://naivas.online/nuvita-nice-biscuit-200g
Food Cupboard,Fresh Fruity Stick 10'S,KES 20,No discount,https://naivas.online/fresh-chewing-gum-fruity-10-pieces
Food Cupboard,Zesta Bi-Carbonate S 100Gm Tin,KES 42,No discount,https://naivas.online/zesta-bi-carbonate-soda-100g
Food Cupboard,Green Farm Yellow Yolk Egg 30 Pieces Wrapped,KES 555,KES 619,https://naivas.online/green-farm-yellow-yolk-egg-30-pieces-wrapped
Food Cupboard,Maggi Cube Fortified 50x4g,KES 110,No discount,https://naivas.online/maggi-cube-fortified-50-4g
Food Cupboard,Zesta Tomato Sauce  400G,KES 79,KES 105,https://naivas.online/zesta-tomato-sauce-400g
